time,wx,wy,wz
1.076,-1.96,-0.77,-0.96
1.078,-1.95,-0.81,-0.96
1.086,-1.93,-0.86,-0.97
1.086,-1.92,-0.89,-0.99
1.087,-1.91,-0.93,-1.01
1.089,-1.90,-0.96,-1.05
1.091,-1.89,-1.00,-1.08
1.094,-1.89,-1.03,-1.12
1.096,-1.88,-1.07,-1.16
1.099,-1.87,-1.10,-1.21
1.101,-1.87,-1.13,-1.26
1.104,-1.87,-1.14,-1.32
1.106,-1.86,-1.14,-1.37
1.109,-1.86,-1.14,-1.43
1.111,-1.85,-1.13,-1.48
1.114,-1.84,-1.10,-1.52
1.116,-1.84,-1.07,-1.56
1.120,-1.83,-1.04,-1.60
1.121,-1.82,-1.00,-1.64
1.124,-1.81,-0.95,-1.66
1.126,-1.80,-0.89,-1.69
1.129,-1.79,-0.83,-1.70
1.133,-1.78,-0.77,-1.72
1.134,-1.78,-0.70,-1.72
1.136,-1.78,-0.62,-1.72
1.139,-1.77,-0.54,-1.72
1.141,-1.77,-0.46,-1.72
1.144,-1.77,-0.38,-1.72
1.146,-1.76,-0.30,-1.72
1.149,-1.76,-0.22,-1.71
1.152,-1.77,-0.15,-1.70
1.154,-1.77,-0.08,-1.70
1.156,-1.78,-0.01,-1.69
1.159,-1.79,0.05,-1.68
1.161,-1.80,0.11,-1.67
1.164,-1.81,0.16,-1.66
1.170,-1.82,0.21,-1.65
1.171,-1.84,0.25,-1.64
1.172,-1.85,0.28,-1.63
1.174,-1.87,0.30,-1.63
1.176,-1.90,0.32,-1.62
1.179,-1.92,0.32,-1.61
1.185,-1.95,0.32,-1.61
1.186,-1.98,0.31,-1.61
1.188,-2.01,0.29,-1.61
1.189,-2.05,0.27,-1.61
1.191,-2.08,0.24,-1.61
1.193,-2.11,0.21,-1.62
1.196,-2.14,0.17,-1.63
1.199,-2.18,0.12,-1.63
1.201,-2.21,0.07,-1.64
1.206,-2.25,0.02,-1.65
1.207,-2.28,-0.03,-1.66
1.209,-2.32,-0.08,-1.67
1.211,-2.35,-0.13,-1.68
1.215,-2.38,-0.19,-1.69
1.216,-2.41,-0.25,-1.69
1.219,-2.43,-0.30,-1.70
1.221,-2.45,-0.35,-1.70
1.224,-2.47,-0.41,-1.70
1.226,-2.50,-0.46,-1.69
1.229,-2.52,-0.52,-1.68
1.231,-2.54,-0.57,-1.68
1.234,-2.56,-0.63,-1.68
1.236,-2.58,-0.68,-1.67
1.239,-2.60,-0.72,-1.67
1.241,-2.61,-0.76,-1.67
1.244,-2.63,-0.79,-1.68
1.251,-2.65,-0.83,-1.68
1.252,-2.67,-0.86,-1.68
1.252,-2.69,-0.88,-1.69
1.254,-2.71,-0.90,-1.69
1.256,-2.73,-0.92,-1.69
1.260,-2.74,-0.95,-1.70
1.262,-2.76,-0.97,-1.70
1.272,-2.77,-0.98,-1.70
1.272,-2.79,-1.00,-1.70
1.273,-2.80,-1.01,-1.70
1.273,-2.81,-1.03,-1.69
1.274,-2.81,-1.05,-1.68
1.276,-2.80,-1.07,-1.66
1.281,-2.79,-1.09,-1.64
1.282,-2.76,-1.11,-1.61
1.284,-2.73,-1.14,-1.57
1.287,-2.68,-1.17,-1.53
1.289,-2.63,-1.20,-1.49
1.291,-2.57,-1.23,-1.45
1.294,-2.50,-1.26,-1.40
1.297,-2.43,-1.30,-1.35
1.299,-2.35,-1.34,-1.29
1.301,-2.27,-1.38,-1.24
1.304,-2.19,-1.42,-1.19
1.306,-2.11,-1.47,-1.14
1.309,-2.03,-1.52,-1.09
1.311,-1.96,-1.59,-1.05
1.315,-1.89,-1.67,-1.00
1.317,-1.83,-1.76,-0.97
1.319,-1.77,-1.86,-0.93
1.321,-1.71,-1.96,-0.89
1.323,-1.66,-2.07,-0.86
1.326,-1.61,-2.19,-0.83
1.330,-1.57,-2.32,-0.80
1.331,-1.52,-2.44,-0.77
1.333,-1.48,-2.55,-0.74
1.336,-1.44,-2.66,-0.71
1.339,-1.40,-2.75,-0.68
1.341,-1.36,-2.83,-0.65
1.344,-1.32,-2.89,-0.62
1.346,-1.28,-2.94,-0.58
1.352,-1.25,-2.97,-0.54
1.353,-1.21,-2.99,-0.50
1.355,-1.19,-3.00,-0.46
1.356,-1.17,-3.00,-0.41
1.359,-1.15,-3.01,-0.35
1.361,-1.14,-3.00,-0.29
1.368,-1.13,-3.00,-0.23
1.369,-1.12,-2.98,-0.17
1.369,-1.11,-2.96,-0.10
1.371,-1.09,-2.91,-0.04
1.374,-1.08,-2.83,0.02
1.376,-1.07,-2.73,0.08
1.379,-1.05,-2.60,0.14
1.383,-1.03,-2.46,0.19
1.385,-1.01,-2.30,0.24
1.388,-0.99,-2.13,0.29
1.389,-0.97,-1.96,0.35
1.391,-0.95,-1.79,0.40
1.393,-0.94,-1.62,0.47
1.396,-0.94,-1.46,0.54
1.399,-0.93,-1.32,0.61
1.401,-0.94,-1.18,0.67
1.408,-0.94,-1.07,0.74
1.410,-0.95,-0.98,0.81
1.411,-0.95,-0.92,0.87
1.412,-0.95,-0.88,0.92
1.415,-0.95,-0.85,0.96
1.416,-0.94,-0.85,0.99
1.419,-0.92,-0.85,1.02
1.421,-0.88,-0.84,1.04
1.424,-0.83,-0.83,1.05
1.426,-0.77,-0.80,1.05
1.431,-0.71,-0.77,1.06
1.431,-0.62,-0.74,1.06
1.433,-0.53,-0.73,1.07
1.436,-0.43,-0.73,1.07
1.442,-0.33,-0.75,1.06
1.443,-0.22,-0.78,1.06
1.443,-0.09,-0.84,1.06
1.446,0.04,-0.89,1.05
1.453,0.16,-0.96,1.05
