time,wx,wy,wz
0.895,-1.58,-1.55,-1.49
0.897,-1.54,-1.56,-1.42
0.900,-1.49,-1.56,-1.34
0.902,-1.44,-1.55,-1.25
0.905,-1.40,-1.53,-1.17
0.907,-1.37,-1.51,-1.09
0.909,-1.34,-1.48,-1.02
0.912,-1.31,-1.46,-0.94
0.914,-1.29,-1.44,-0.86
0.917,-1.27,-1.42,-0.79
0.919,-1.25,-1.42,-0.72
0.922,-1.23,-1.41,-0.65
0.924,-1.21,-1.42,-0.58
0.927,-1.19,-1.42,-0.52
0.929,-1.17,-1.42,-0.45
0.932,-1.14,-1.43,-0.40
0.935,-1.12,-1.43,-0.34
0.937,-1.09,-1.43,-0.29
0.939,-1.07,-1.44,-0.24
0.941,-1.04,-1.45,-0.20
0.944,-1.01,-1.46,-0.16
0.947,-0.98,-1.47,-0.12
0.949,-0.95,-1.48,-0.09
0.953,-0.93,-1.50,-0.06
0.954,-0.90,-1.51,-0.03
0.956,-0.88,-1.51,-0.00
0.959,-0.85,-1.51,0.03
0.961,-0.83,-1.50,0.06
0.964,-0.82,-1.48,0.09
0.972,-0.81,-1.46,0.13
0.973,-0.80,-1.43,0.18
0.974,-0.79,-1.40,0.23
0.975,-0.78,-1.36,0.28
0.976,-0.77,-1.31,0.34
0.979,-0.76,-1.26,0.40
0.982,-0.75,-1.19,0.47
0.985,-0.74,-1.12,0.54
0.987,-0.73,-1.05,0.61
0.989,-0.71,-0.97,0.67
0.992,-0.69,-0.90,0.75
0.994,-0.67,-0.82,0.82
0.997,-0.65,-0.75,0.90
0.999,-0.63,-0.67,0.96
1.002,-0.61,-0.58,1.03
1.004,-0.59,-0.49,1.10
1.007,-0.56,-0.40,1.15
1.009,-0.53,-0.30,1.20
1.012,-0.49,-0.20,1.25
1.014,-0.45,-0.11,1.29
1.017,-0.40,-0.01,1.33
1.019,-0.35,0.09,1.36
1.022,-0.30,0.20,1.39
1.025,-0.25,0.30,1.41
1.027,-0.20,0.37,1.42
1.029,-0.15,0.42,1.42
1.035,-0.10,0.44,1.41
1.036,-0.05,0.45,1.40
1.037,-0.00,0.43,1.37
1.041,0.04,0.40,1.34
1.042,0.08,0.36,1.30
1.044,0.13,0.30,1.25
1.046,0.17,0.24,1.20
1.049,0.21,0.17,1.15
1.052,0.26,0.09,1.11
1.054,0.30,0.00,1.06
1.057,0.35,-0.10,1.01
1.059,0.40,-0.21,0.97
1.062,0.45,-0.32,0.93
1.064,0.49,-0.44,0.90
1.067,0.55,-0.55,0.87
1.073,0.60,-0.66,0.85
1.074,0.65,-0.75,0.83
1.075,0.70,-0.81,0.82
1.076,0.75,-0.87,0.82
