time,wx,wy,wz
4.805,-0.09,-0.36,0.72
4.821,-0.19,-0.8,0.47
4.838,-0.3,-0.91,0.32
4.871,-0.62,-0.85,-0.01
4.888,-0.76,-0.73,-0.19
4.905,-0.94,-0.64,-0.36
4.921,-1.16,-0.61,-0.55
4.938,-1.38,-0.61,-0.73
4.955,-1.53,-0.58,-0.91
4.971,-1.59,-0.53,-1.07
4.988,-1.59,-0.49,-1.21
5.005,-1.57,-0.46,-1.33
5.021,-1.52,-0.44,-1.4
5.038,-1.43,-0.4,-1.42
5.055,-1.3,-0.31,-1.41
5.071,-1.11,-0.17,-1.35
5.088,-0.89,-0.03,-1.25
5.105,-0.67,0.08,-1.11
5.121,-0.48,0.16,-0.94
5.138,-0.3,0.2,-0.74
5.155,-0.13,0.24,-0.51
5.171,0.04,0.28,-0.26
5.188,0.19,0.34,0.03
5.205,0.35,0.44,0.36
5.221,0.5,0.53,0.76
5.238,0.62,0.57,1.18
5.255,0.68,0.58,1.61
5.271,0.71,0.63,2.01
5.288,0.73,0.72,2.32
5.305,0.78,0.72,2.44
5.321,0.85,0.63,2.4
5.338,0.93,0.57,2.26
5.355,1.06,0.6,2.01
5.371,1.2,0.7,1.69
5.388,1.33,0.88,1.3
5.405,1.67,1.42,0.49
5.421,1.89,1.6,0.18
5.455,2.24,1.73,0.03
5.471,2.37,1.8,0.23
5.488,2.45,1.87,0.57
5.505,2.48,1.89,0.96
5.521,2.49,1.83,1.33
5.538,2.47,1.69,1.65
5.555,2.41,1.5,1.89
5.571,2.33,1.27,2.05
5.588,2.2,1.01,2.11
5.605,2.02,0.73,2.06
5.621,1.79,0.43,1.87
5.638,1.48,0.11,1.57
5.655,1.09,-0.18,1.21
5.671,0.7,-0.3,0.8
5.688,0.37,-0.24,0.38
5.705,0,-0.23,-0.07
5.721,-0.46,-0.41,-0.54
5.738,-0.96,-0.67,-1.06
5.755,-1.47,-1,-1.7
5.771,-1.86,-1.57,-2.37
5.788,-2.31,-2.53,-2.99
5.805,-3.12,-3.64,-3.47
5.821,-3.91,-4.48,-3.84
5.838,-4.54,-5.19,-4.23
5.855,-5.88,-5.76,-4.52
5.871,-7.25,-5.65,-4.76
5.888,-7,-5.69,-5.83
5.905,-7.44,-5.92,-6.9
5.921,-7.6,-5.47,-7.33
5.938,-7.18,-4.27,-6.61
5.955,-6.78,-2.89,-5.07
5.971,-5.51,-0.84,-3.16
5.988,-3.28,1.17,-1.36
6.005,-0.65,1.05,0.25
6.038,0.39,0.57,0.81
6.055,1.82,0.94,3.37
6.071,1.88,1.77,4.72
6.105,1.91,3.83,5.55
6.121,2.15,4.48,5.5
6.138,2.19,4.52,5.38
6.155,2.41,4.16,5.12
6.171,3.03,3.74,4.76
6.188,3.57,3.3,4.51
6.205,3.86,2.96,4.65
6.221,3.95,2.83,5.28
6.238,3.67,2.86,6.16
6.255,2.87,2.95,6.7
6.271,2.06,3.02,6.45
6.288,1.64,2.78,5.32
6.305,1.56,2.29,3.75
6.321,1.71,1.74,2.42
6.338,1.23,0.78,1.3
6.355,0.33,-0.34,0.21
6.371,-0.69,-1.3,-0.78
6.388,-1.7,-2,-1.56
6.405,-2.95,-2.61,-2.29
6.421,-4.05,-2.65,-3.18
6.438,-4.92,-2.1,-4.29
6.455,-5.06,-1.37,-5.53
6.471,-4.43,-1.13,-6.88
6.488,-3.66,-1.81,-8.15
6.505,-3.12,-3.09,-9.09
6.521,-2.72,-4.3,-9.53
6.538,-2.61,-5.1,-9.53
6.555,-2.77,-5.23,-9.28
6.571,-2.92,-4.56,-8.87
6.588,-2.77,-3.11,-8.16
6.605,-1.79,-0.66,-6.69
6.621,-1.04,1.59,-4.64
6.638,-1.69,1.97,-2.45
6.655,-0.36,0.99,1.8
6.688,0.5,-0.36,6.58
6.705,1.14,0.26,8.5
6.721,1.33,1.36,9.31
6.738,1.16,2.42,8.79
6.755,1.27,2.92,7.36
6.772,1.79,2.81,5.82
6.788,2.68,2.59,4.79
6.805,3.63,2.64,4.7
6.821,3.94,2.7,5.33
6.838,3.73,2.55,6.21
6.859,3.79,2.49,7.01
6.872,3.99,2.29,7.48
6.888,4.08,1.72,7.53
6.905,3.56,0.53,6.8
6.921,2.46,-1.13,5.18
6.938,1.85,-2.01,2.87
6.955,1.41,-2.26,0.37
6.971,-0.04,-2.61,-1.74
6.988,-1.65,-2.61,-3.21
7.005,-3.08,-2.1,-4.2
7.022,-4.12,-1.48,-4.87
7.038,-5.06,-1.22,-5.32
7.055,-5.77,-1.27,-5.7
7.072,-6.1,-1.4,-6.14
7.088,-5.88,-1.56,-6.72
7.105,-5.25,-1.91,-7.38
7.121,-4.69,-2.52,-7.87
7.138,-4.4,-3.12,-7.95
7.155,-4.25,-3.38,-7.63
7.172,-4.05,-3.17,-7.11
7.188,-3.69,-2.51,-6.6
7.205,-2.9,-1.54,-6.13
7.221,-1.55,-0.25,-5.18
7.238,-0.11,1.09,-1.46
7.271,0.03,1.28,0.89
7.289,1.1,1.62,5.94
7.305,0.84,1.53,8.46
7.338,1.2,1.38,11.31
7.355,1.54,1.83,10.59
7.371,2.06,2.5,8.84
7.388,2.92,2.9,6.98
7.405,3.5,2.52,5.31
7.421,3.86,1.79,4.26
7.438,4.44,1.46,3.99
7.455,4.63,1.49,4.28
7.471,3.96,1.54,4.86
7.488,3.42,1.96,5.5
7.505,3.25,2.79,5.97
7.521,2.45,2.92,5.83
7.538,1.1,1.98,4.71
7.555,0.26,0.7,2.74
7.571,0.19,-0.78,0.35
7.588,-0.05,-2.52,-1.87
7.605,-0.7,-3.72,-3.45
7.621,-1.51,-3.97,-4.32
7.638,-2.23,-3.69,-4.62
7.655,-3.17,-3.5,-4.79
7.672,-4.06,-3.25,-5.04
7.688,-4.61,-2.77,-5.44
7.705,-4.82,-2.08,-5.97
7.721,-4.61,-1.34,-6.59
7.738,-4.48,-0.97,-7.18
7.755,-4.49,-0.99,-7.62
7.772,-4.33,-1.15,-7.82
7.788,-4.1,-1.33,-7.8
7.805,-3.8,-1.32,-7.62
7.822,-2.48,-0.69,-6.87
7.855,-1.4,0.03,-5.67
7.871,-0.39,0.84,-3.86
7.888,-0.19,0.87,0.14
7.909,0.25,0.39,2.17
7.922,0.83,-0.4,4.04
7.938,1.19,-1.43,5.85
7.955,1.73,-1.85,7.33
7.972,2.35,-1.5,7.92
7.989,2.54,-0.89,7.61
8.005,2.5,-0.05,6.62
8.021,2.87,0.92,5.35
8.038,3.5,1.71,4.13
8.055,3.81,2.18,3.14
8.072,3.87,2.53,2.68
8.088,3.96,2.97,2.71
8.105,3.89,3.43,3.17
8.122,3.49,3.62,3.93
8.138,3.01,3.53,4.87
8.155,2.64,3.13,5.73
8.172,2.15,2.32,6.01
8.188,1.91,1.35,5.55
8.205,1.75,0.18,4.49
8.222,1.86,-0.87,3.08
8.238,1.66,-1.87,1.58
8.255,1.25,-2.4,0.2
8.272,0.6,-2.38,-0.84
8.288,-0.42,-2.04,-1.55
8.305,-1.7,-1.61,-2.18
8.322,-3.05,-1.26,-2.95
8.338,-4.02,-0.89,-3.84
8.355,-4.46,-0.47,-4.8
8.372,-4.46,-0.28,-5.74
8.388,-4.07,-0.61,-6.5
8.405,-3.55,-1.53,-6.92
8.422,-3.12,-2.66,-7.12
8.438,-2.8,-3.6,-7.25
8.455,-2.84,-4.7,-7.4
8.472,-2.99,-4.66,-7.37
8.505,-2.69,-3.86,-6.97
8.521,-0.29,0.42,-4.17
8.538,-0.38,1.58,-2.21
8.571,0.13,2.22,1.82
8.588,0.51,1.8,3.65
8.605,0.58,1.4,5.34
8.621,0.59,1.43,6.64
8.638,0.59,1.78,7.21
8.655,0.85,2.38,7.1
8.671,1.41,2.93,6.46
8.689,2.22,3.12,5.68
8.705,3.15,2.84,4.97
8.722,4.08,2.36,4.54
8.738,4.88,2.08,4.4
8.755,5.26,2.02,4.43
8.772,5.21,2.04,4.48
8.788,4.78,2.06,4.59
8.805,4.28,2.15,4.75
8.822,3.85,2.36,4.76
8.839,2.86,2.13,4.23
8.855,1.55,1.47,3.24
8.872,0.83,1.16,2.03
8.888,0.16,0.67,0.84
8.906,-0.45,0.05,-0.16
8.922,-0.73,-0.8,-0.9
8.939,-1.17,-2.09,-1.43
8.955,-1.71,-3.29,-1.8
8.972,-2.37,-3.95,-2.13
8.989,-3.08,-3.95,-2.64
9.005,-3.57,-3.38,-3.35
9.022,-3.78,-2.7,-4.21
9.039,-3.81,-2.35,-5.05
9.055,-3.6,-2.68,-6.18
9.088,-3.48,-2.98,-6.42
9.105,-3.48,-3.49,-6.58
9.121,-3.44,-3.58,-6.6
9.155,-2.24,-2.13,-5.76
9.171,-1.31,-0.57,-4.44
9.189,-0.84,0.77,-2.69
9.205,-0.65,1.53,-0.56
9.222,-0.22,1.76,1.59
9.239,0.61,1.57,3.56
9.255,0.98,1.01,5.13
9.272,1.11,0.87,6.34
9.289,1.22,1.14,7.13
9.305,1.39,1.6,7.36
9.322,1.8,1.97,7.11
9.339,2.37,2.06,6.54
9.355,3,2.01,5.86
9.372,3.52,1.92,5.22
9.388,3.86,1.98,4.72
9.405,4.04,2.27,4.39
9.422,4.02,2.66,4.22
9.439,3.69,2.96,4.14
9.455,3.25,3.16,4.14
9.472,2.84,3.27,4.05
9.488,2.38,3.12,3.73
9.505,1.72,2.37,2.93
9.522,0.81,1.02,1.68
9.539,0.17,-0.3,0.26
9.555,-0.04,-1.16,-1.16
9.572,-0.4,-1.92,-2.34
9.589,-0.88,-2.37,-3.16
9.605,-1.45,-2.54,-3.57
9.622,-2.07,-2.54,-3.78
9.639,-3.57,-2.69,-4.3
9.671,-4.14,-2.62,-4.73
9.689,-4.53,-2.24,-5.74
9.705,-4.49,-2.17,-6.2
9.738,-4.38,-2.23,-6.54
9.755,-3.92,-2.62,-6.94
9.771,-3.56,-2.65,-7.06
9.805,-2.34,-2.02,-6.7
9.821,-1.43,-1.25,-5.77
9.838,-0.59,-0.32,-4.17
9.855,-0.2,0.37,-2.2
9.871,0.12,0.95,0.05
9.888,0.44,1.25,2.31
9.905,0.73,1.18,4.34
9.921,0.92,1.01,6.16
9.938,1.17,0.78,7.87
9.955,1.58,0.95,8.91
9.971,2.02,1.5,9.08
9.988,2.37,1.98,8.58
10.005,2.56,2.12,7.7
10.021,2.72,2.02,6.69
10.039,2.98,1.79,5.59
10.055,3.36,1.64,4.54
10.072,3.72,1.65,3.84
10.089,3.89,1.74,3.47
10.105,3.77,1.78,3.39
10.122,3.53,1.62,3.47
10.139,3.36,1.42,3.56
10.155,3.27,1.26,3.42
10.172,2.62,0.34,2.7
10.189,1.81,-1.1,1.33
10.205,1.35,-2.27,-0.45
10.222,0.62,-3.46,-2.18
10.239,-0.6,-4.46,-3.47
10.255,-1.63,-4.44,-4.31
10.272,-2.57,-3.82,-4.73
10.289,-4.36,-3.08,-4.81
10.321,-4.99,-2.96,-4.87
10.338,-5.13,-2.64,-5.61
10.355,-4.8,-2.48,-6.1
10.388,-4.18,-2.31,-6.63
10.405,-3.83,-2.15,-6.63
10.421,-3.43,-1.87,-6.55
10.438,-2.95,-1.49,-6.38
10.455,-2.3,-1.03,-5.99
10.471,-1.47,-0.37,-5.05
10.488,-0.77,0.39,-3.52
10.505,-0.55,0.85,-1.58
10.521,-0.4,1.15,0.58
10.538,-0.07,1.37,2.9
10.555,0.13,1.36,5.19
10.571,0.16,1.37,7.36
10.588,0.18,1.34,9.15
10.606,0.48,0.9,10.3
10.622,1.11,0.8,10.45
10.639,1.73,0.85,9.84
10.656,2.17,0.63,8.88
10.672,2.57,0.29,7.76
10.689,3.15,0.01,6.41
10.706,3.98,0,4.96
10.722,4.38,0.16,3.88
10.739,4.35,0.42,3.2
10.755,4.34,0.92,2.88
10.772,4.28,1.5,2.88
10.789,4.02,1.93,3.02
10.806,3.82,2.22,3.12
10.822,3.17,1.84,2.92
10.839,2.04,0.62,2.21
10.856,1.2,-0.78,1.12
10.872,-0.23,-3.05,-1.38
10.905,-0.99,-3.62,-2.23
10.921,-2.79,-3.23,-2.95
10.938,-3.87,-2.89,-3.21
10.971,-5.21,-2.28,-4.31
10.988,-5.33,-2.11,-5.08
11.006,-5.19,-2.16,-5.91
11.022,-5,-2.44,-6.6
11.039,-4.89,-2.85,-7
11.056,-4.83,-3.19,-7.15
11.078,-4.74,-3.33,-7.13
11.089,-4.55,-3.17,-7.01
11.106,-4.08,-2.68,-6.88
11.123,-3.07,-1.75,-6.45
11.139,-1.53,-0.42,-5.28
11.156,-0.4,0.57,-3.48
11.172,-0.04,1.03,-1.43
11.189,0.55,1.59,0.98
11.206,1.05,1.91,3.48
11.222,0.94,1.88,5.66
11.239,0.91,2.22,7.44
11.255,0.95,2.51,8.52
11.272,0.91,2.27,9.01
11.289,1.02,2.04,8.99
11.306,1.22,1.88,8.4
11.322,1.41,1.55,7.38
11.339,1.63,1.04,6.09
11.356,2.01,0.61,4.71
11.373,2.55,0.47,3.44
11.389,3.01,0.62,2.65
11.406,3.22,0.87,2.33
11.422,3.18,1.16,2.35
11.439,3.07,1.47,2.6
11.456,3.66,2.28,3.19
11.488,3.5,2.28,3.17
11.506,2.01,0.43,1.28
11.522,1.72,-0.33,-0.16
11.555,1.09,-1.23,-1.43
11.571,-0.01,-2.48,-2.87
11.588,-0.73,-2.91,-2.91
11.621,-2.8,-3.73,-2.67
11.638,-4.01,-3.98,-2.67
11.655,-5.39,-3.87,-2.7
11.671,-6.08,-3.59,-2.98
11.688,-6.2,-3.42,-3.51
11.705,-6.33,-3.28,-4.09
11.721,-6.16,-3.04,-5.07
11.738,-5.74,-2.73,-6.41
11.755,-5.5,-2.39,-7.62
11.772,-5.64,-2.07,-8.21
11.788,-5.71,-1.73,-7.86
11.805,-4.68,-0.91,-6.32
11.821,-2.14,0.46,-3.82
11.838,-0.53,1.12,-1.62
11.856,0.05,0.97,0.59
11.872,0.44,0.27,2.63
11.889,0.98,-0.54,4.38
11.906,1.22,-1.28,5.77
11.922,1.22,-1.62,6.87
11.939,1.07,-1.18,7.67
11.956,0.71,-0.04,8.03
11.972,0.19,1.15,7.88
11.989,-0.24,1.98,7.31
12.006,-0.46,2.29,6.48
12.022,-0.37,2.13,5.49
12.039,-0.13,1.63,4.46
12.056,0.1,0.96,3.51
12.073,0.3,0.27,2.78
12.089,0.89,-0.12,2.31
12.106,1.74,-0.34,2.09
12.138,1.74,-0.52,2.22
12.156,2.23,-0.18,2.15
12.172,1.58,-0.68,1.49
12.19,0.85,-1.57,0.47
12.206,0.19,-2.5,-0.66
12.223,-0.77,-3.39,-1.51
12.239,-1.95,-4.1,-2.09
12.256,-2.94,-4.27,-2.33
12.273,-3.99,-3.97,-2.23
12.289,-5.09,-3.42,-1.96
12.306,-6.16,-3.05,-1.75
12.323,-7.16,-3.04,-1.64
12.339,-7.86,-3.22,-1.71
12.356,-8.24,-3.36,-1.99
12.372,-8.12,-3.27,-2.51
12.389,-7.65,-3.06,-3.15
12.406,-7.04,-2.85,-3.87
12.423,-6.62,-2.72,-4.61
12.439,-6.44,-2.67,-5.24
12.456,-6.21,-2.59,-5.63
12.472,-5.53,-2.31,-5.58
12.489,-4.35,-1.8,-5.06
12.506,-3.01,-1.06,-4.14
12.522,-1.74,-0.35,-2.93
12.539,-0.83,-0.1,-1.59
12.556,-0.18,-0.24,-0.27
12.572,0.66,-0.4,1.21
12.589,1.38,-0.54,2.88
12.606,1.53,-0.49,4.56
12.622,1.17,0.01,6.14
12.639,0.62,0.78,7.36
12.656,0.08,1.42,8.07
12.673,-0.34,1.78,8.22
12.689,-0.53,1.54,6.99
12.721,-0.27,1.17,5.94
12.738,0.04,0.83,4.83
12.755,0.33,0.41,3.06
12.788,0.55,0.43,2.67
12.805,0.73,0.76,2.83
12.821,0.68,0.93,3.16
12.855,1.29,1.57,3.64
12.871,1.01,1.36,3.14
12.888,0.54,0.89,2.18
12.905,0.05,0.19,0.9
12.921,-0.53,-0.57,-0.43
12.938,-1.31,-1.31,-1.6
12.955,-2.23,-1.84,-2.52
12.971,-3.07,-2.02,-3.13
12.988,-3.86,-1.95,-3.43
13.005,-4.56,-1.69,-3.46
13.021,-5.16,-1.37,-3.41
13.038,-5.63,-1.24,-3.49
13.055,-5.88,-1.39,-3.77
13.071,-5.88,-1.74,-4.19
13.088,-5.71,-2.18,-4.66
13.106,-5.48,-2.61,-5.12
13.123,-5.28,-3,-5.52
13.139,-5.06,-3.19,-5.92
13.156,-4.84,-3.11,-6.42
13.178,-4.51,-2.31,-7.33
13.205,-3.68,-1.31,-7.07
13.221,-2.68,-0.23,-6.02
13.238,-2.1,0.25,-4.62
13.255,-1.46,0.46,-3.09
13.271,-0.65,0.54,-1.56
13.288,0.26,0.42,0.06
13.305,0.85,-0.1,1.68
13.321,1.05,-0.81,3.19
13.338,1.14,-1.42,5.79
13.371,1.13,-1.26,6.66
13.388,0.71,-0.52,7.12
13.405,0.17,-0.04,6.62
13.438,-0.38,0.65,4.76
13.455,-0.18,0.95,3.71
13.471,0.05,1.22,2.81
13.488,0.23,1.33,2.16
13.505,0.44,1.33,1.79
13.521,0.86,1.39,1.78
13.538,1.47,1.48,2.18
13.555,2.01,1.41,2.85
13.571,2.27,1.08,3.46
13.588,2.32,0.6,3.82
13.605,2.4,0.14,3.89
13.621,2.5,-0.36,3.6
13.638,2.4,-0.84,2.96
13.655,2.31,-1.1,2.19
13.673,2.27,-1.23,1.37
13.689,2.17,-1.3,0.69
13.706,1.94,-1.29,0.28
13.722,1.62,-1.17,0.13
13.739,1.16,-0.97,0.15
13.756,0.6,-0.75,0.2
13.772,-0.01,-0.5,0.17
13.789,-0.67,-0.32,0.01
13.806,-1.44,-0.26,-0.29
13.822,-2.25,-0.18,-0.69
13.839,-3,0,-1.17
13.856,-3.56,0.26,-1.7
13.872,-3.87,0.56,-2.24
13.889,-3.92,0.84,-2.76
13.906,-3.75,0.93,-3.26
13.922,-3.27,-0.2,-4.33
13.955,-3.03,-1.42,-4.91
13.971,-2.57,-2.47,-5.26
13.988,-1.51,-3.28,-4.54
14.021,-1.24,-3.57,-4
14.038,-0.39,-4.25,-3.33
14.055,-0.11,-5.04,-3.28
14.088,0.44,-6.2,-3.2
14.105,0.58,-6.35,-3.02
14.121,0.64,-6.25,-2.75
14.138,0.64,-5.93,-2.43
14.155,0.59,-5.49,-2.12
14.171,0.51,-5,-1.86
14.188,0.44,-4.55,-1.64
14.205,0.44,-4.19,-1.45
14.225,0.5,-3.92,-1.27
14.239,0.56,-3.69,-1.12
14.256,0.62,-3.41,-1
