time,wx,wy,wz
5.13,-6.45,-1.48,-2.88
5.146,-5.78,-1.24,-2.82
5.163,-4.99,-1.31,-2.78
5.179,-4.2,-1.47,-2.67
5.196,-3.25,-1.42,-2.34
5.213,-2.18,-1.22,-1.83
5.23,-1.06,-0.96,-1.01
5.246,-0.19,-0.78,-0.1
5.263,0.41,-0.68,0.78
5.28,0.83,-0.6,1.52
5.296,1.2,-0.48,2.11
5.313,1.64,-0.21,2.56
5.33,2.05,0.24,2.93
5.346,2.2,0.77,3.24
5.363,2.15,1.43,3.47
5.38,2.23,2.17,3.64
5.396,2.52,2.65,3.74
5.413,2.77,2.78,3.91
5.43,3.06,2.83,4.24
5.446,3.54,3.05,4.69
5.463,3.42,3,5.09
5.48,2.97,2.87,5.11
5.496,2.86,3.03,4.63
5.513,2.8,3.18,3.86
5.53,2.84,3.34,3.12
5.546,3.07,3.49,2.63
5.563,3.29,3.42,2.51
5.58,3.38,3.16,2.6
5.596,3.36,2.81,2.71
5.613,3.27,2.22,2.62
5.63,3.23,1.42,2.17
5.646,3.19,0.56,1.36
5.663,2.71,-1.46,-0.99
5.696,1.76,-2.87,-2.89
5.713,0.91,-3.15,-3.3
5.73,-0.04,-3.36,-3.57
5.746,-0.88,-3.54,-3.86
5.763,-1.61,-3.91,-4.23
5.78,-2.32,-4.65,-4.74
5.796,-2.93,-5.68,-5.28
5.813,-3.4,-6.53,-5.57
5.83,-3.85,-6.98,-5.25
5.846,-4.44,-6.88,-4.23
5.863,-4.55,-5.47,-2.73
5.88,-4.57,-3.79,-1.21
5.896,-4.97,-3.08,-0.3
5.913,-4.92,-2.69,-0.07
5.93,-4.63,-2.59,-0.2
5.946,-4.26,-2.54,-0.39
5.963,-3.79,-2.2,-0.55
5.98,-3.26,-1.67,-0.69
5.996,-2.73,-1.02,-0.78
6.013,-2.2,-0.32,-0.76
6.03,-1.7,0.32,-0.57
6.046,-1.23,0.77,-0.33
6.063,-0.7,1.04,-0.09
6.08,-0.06,1.17,0.18
6.096,0.61,1.17,0.55
6.113,1.12,1.15,1.06
6.13,1.44,1.36,1.72
6.146,1.9,2.01,2.58
6.163,2.56,2.78,3.5
6.18,2.78,3.05,4.29
6.196,2.63,2.92,4.91
6.213,2.64,2.81,5.25
6.23,2.8,2.78,5.29
6.246,3,2.9,4.74
6.28,3.32,3,4.25
6.296,4.15,3.16,3.51
6.313,4.72,3.17,3.38
6.346,5.42,2.41,3.33
6.363,5.54,1.92,3.14
6.38,5.49,1.54,2.69
6.396,5.31,1.22,1.97
6.413,5.05,0.83,1.09
6.43,4.68,0.26,0.13
6.446,4.14,-0.49,-0.8
6.463,3.34,-1.35,-1.62
6.48,2.39,-2.09,-2.23
6.496,1.42,-2.54,-2.61
6.513,0.46,-2.78,-2.89
6.53,-0.4,-3.05,-3.31
6.546,-0.99,-3.33,-3.94
6.563,-1.36,-3.51,-4.67
6.579,-1.61,-3.67,-5.23
6.596,-2.06,-4.1,-5.4
6.613,-2.64,-4.37,-5.1
6.629,-3.01,-3.93,-4.39
6.646,-3.38,-3.04,-3.48
6.663,-3.54,-2.01,-2.75
6.68,-3.46,-1.25,-2.36
6.696,-3.31,-0.91,-2.31
6.713,-3.14,-0.74,-2.52
6.73,-2.87,-0.44,-2.77
6.746,-2.35,0.04,-2.91
6.763,-1.71,0.48,-2.89
6.78,-1.1,0.86,-2.66
6.796,-0.44,1.38,-2.12
6.813,0.35,2.01,-1.42
6.83,1.99,2.68,-0.04
6.863,2.62,2.71,0.54
6.88,3.31,2.7,1.58
6.896,3.46,3.06,2.13
6.93,3.41,4.43,3.2
6.946,3.14,4.92,3.58
6.963,3.05,5.29,4.03
6.979,3.28,5.61,4.65
6.996,3.39,5.53,5.4
7.013,3.19,5.05,6.04
7.03,3.02,4.59,6.23
7.046,3.18,4.42,5.87
7.063,3.75,4.52,5.26
7.08,4.58,4.45,4.69
7.096,5.43,3.92,4.32
7.113,6.15,3.19,4.21
7.129,6.8,2.63,4.3
7.146,7.34,2.15,4.43
7.163,7.65,1.5,4.46
7.18,7.72,0.78,4.32
7.196,7.64,0.22,3.99
7.213,7.44,-0.07,3.55
