time,wx,wy,wz
0.768,-2.06,-1.90,0.06
0.770,-2.13,-1.84,0.07
0.773,-2.18,-1.78,0.08
0.775,-2.23,-1.72,0.10
0.778,-2.26,-1.66,0.11
0.781,-2.28,-1.60,0.13
0.787,-2.29,-1.54,0.14
0.789,-2.30,-1.48,0.16
0.790,-2.30,-1.43,0.18
0.791,-2.29,-1.38,0.19
0.794,-2.28,-1.35,0.21
0.796,-2.27,-1.32,0.23
0.798,-2.25,-1.31,0.24
0.800,-2.23,-1.31,0.25
0.803,-2.21,-1.32,0.25
0.805,-2.19,-1.34,0.25
0.808,-2.18,-1.37,0.24
0.810,-2.17,-1.42,0.23
0.813,-2.17,-1.47,0.21
0.815,-2.16,-1.54,0.18
0.818,-2.17,-1.61,0.13
0.820,-2.18,-1.67,0.07
0.823,-2.19,-1.74,0.01
0.825,-2.22,-1.80,-0.05
0.827,-2.27,-1.85,-0.10
0.830,-2.33,-1.89,-0.15
0.832,-2.40,-1.94,-0.18
0.835,-2.48,-1.98,-0.21
0.837,-2.58,-2.01,-0.23
0.840,-2.69,-2.04,-0.25
0.842,-2.81,-2.06,-0.26
0.845,-2.94,-2.06,-0.28
0.847,-3.08,-2.04,-0.28
0.851,-3.22,-2.00,-0.29
0.853,-3.36,-1.93,-0.29
0.856,-3.50,-1.84,-0.29
0.858,-3.63,-1.72,-0.28
0.860,-3.74,-1.58,-0.28
0.862,-3.84,-1.44,-0.28
0.865,-3.92,-1.29,-0.27
0.868,-3.98,-1.14,-0.26
0.870,-4.02,-0.98,-0.24
0.873,-4.05,-0.84,-0.20
0.875,-4.07,-0.71,-0.17
0.878,-4.06,-0.59,-0.13
0.885,-4.04,-0.50,-0.08
0.886,-4.01,-0.43,-0.04
0.887,-3.97,-0.37,-0.00
0.888,-3.92,-0.34,0.03
0.891,-3.85,-0.31,0.06
0.893,-3.78,-0.31,0.09
0.895,-3.69,-0.31,0.11
0.898,-3.60,-0.32,0.12
0.900,-3.51,-0.34,0.13
0.903,-3.43,-0.36,0.13
0.905,-3.34,-0.38,0.12
0.909,-3.27,-0.40,0.11
0.913,-3.20,-0.43,0.10
0.914,-3.15,-0.44,0.09
0.917,-3.12,-0.45,0.08
0.918,-3.10,-0.45,0.07
0.920,-3.08,-0.44,0.07
0.923,-3.08,-0.41,0.07
0.926,-3.09,-0.38,0.07
0.928,-3.11,-0.35,0.06
