time,ax,ay,az,aT
2.3800,5.3730,1.3360,-7.8420,9.600
2.3900,4.3750,1.2870,-7.8980,9.120
2.4000,3.5340,0.9140,-7.7070,8.528
2.4100,2.9340,0.3400,-7.0620,7.655
2.4220,2.0110,-0.4880,-6.2210,6.556
2.4310,0.8690,-1.2890,-5.4020,5.621
2.4400,0.9940,-1.7670,-5.0140,5.408
2.4530,1.7000,-2.3870,-4.5790,5.436
2.4600,2.0190,-3.1240,-4.5000,5.838
2.4700,1.9500,-4.1890,-4.7070,6.596
2.4810,1.8830,-5.1540,-5.0770,7.476
2.4900,2.7100,-5.8810,-4.8110,8.067
2.5000,2.7600,-5.9900,-4.0530,7.741
2.5100,3.5020,-6.3770,-2.3680,7.651
2.5200,4.2820,-7.3250,-0.7760,8.520
2.5310,4.1950,-7.8950,-0.3980,8.949
2.5400,3.2940,-7.8420,0.7530,8.539
2.5500,2.2200,-7.4960,2.2290,8.129
2.5630,1.9540,-7.2240,2.6710,7.946
2.5710,2.8580,-7.2820,1.9480,8.062
2.5820,3.9160,-7.3840,0.9980,8.418
2.5900,4.0020,-7.2450,0.5000,8.292
2.6020,3.4330,-6.2680,0.7530,7.186
2.6110,2.8170,-4.8390,1.0390,5.695
2.6200,3.1250,-5.2070,1.0870,6.169
2.6310,3.4290,-5.6210,1.2900,6.710
2.6430,2.8290,-4.9850,1.3920,5.898
2.6520,2.8490,-4.4470,2.3760,5.791
2.6610,3.3450,-4.3560,2.6250,6.087
2.6700,4.0470,-4.2750,2.4210,6.365
2.6810,4.4810,-4.0770,2.0450,6.394
2.6920,4.2670,-3.7750,1.5080,5.893
2.7010,3.7650,-3.2860,1.3910,5.187
2.7110,3.4700,-3.2970,1.2300,4.942
2.7210,3.3300,-3.3460,1.5040,4.954
2.7310,3.3780,-3.2880,2.2240,5.212
2.7400,3.6530,-3.2720,3.2010,5.856
2.7500,3.6580,-3.2650,4.1800,6.443
2.7600,3.7330,-3.1130,5.5140,7.351
2.7700,3.8170,-2.6350,6.8950,8.310
2.7810,4.6190,-1.8800,7.0350,8.623
2.7900,5.3450,-1.8040,7.0520,9.031
2.8010,5.3830,-1.7030,6.9870,8.983
2.8100,4.9930,-1.2100,7.0460,8.720
