time,wx,wy,wz
0.761,2.61,-1.92,-1.59
0.765,2.65,-1.68,-1.56
0.769,2.68,-1.49,-1.52
0.770,2.69,-1.35,-1.48
0.771,2.66,-1.19,-1.42
0.774,2.50,-0.90,-1.32
0.776,2.26,-0.55,-1.21
0.792,2.08,-0.43,-1.12
0.793,1.97,-0.51,-1.08
0.794,1.88,-0.65,-1.06
0.795,1.79,-0.76,-1.03
0.796,1.70,-0.79,-0.99
0.796,1.58,-0.71,-0.93
0.797,1.46,-0.58,-0.87
0.798,1.35,-0.45,-0.83
0.799,1.27,-0.34,-0.80
0.802,1.19,-0.27,-0.78
0.804,1.14,-0.24,-0.76
0.807,1.07,-0.22,-0.75
0.809,1.01,-0.21,-0.74
0.811,0.95,-0.22,-0.74
0.815,0.89,-0.24,-0.74
0.816,0.83,-0.26,-0.74
0.819,0.78,-0.29,-0.75
0.821,0.74,-0.32,-0.75
0.824,0.70,-0.35,-0.76
0.826,0.68,-0.37,-0.77
0.832,0.66,-0.40,-0.77
0.833,0.64,-0.42,-0.77
0.834,0.62,-0.43,-0.77
0.837,0.60,-0.45,-0.77
0.839,0.58,-0.47,-0.76
0.841,0.57,-0.50,-0.75
0.844,0.55,-0.52,-0.74
0.847,0.54,-0.55,-0.73
0.849,0.52,-0.59,-0.72
0.851,0.52,-0.64,-0.71
0.854,0.51,-0.68,-0.70
0.856,0.50,-0.73,-0.69
0.859,0.50,-0.78,-0.68
0.862,0.51,-0.83,-0.66
0.867,0.52,-0.87,-0.65
0.868,0.54,-0.91,-0.65
0.869,0.56,-0.94,-0.64
0.871,0.59,-0.96,-0.63
0.875,0.62,-0.97,-0.62
0.876,0.66,-0.98,-0.62
0.880,0.71,-0.98,-0.62
0.886,0.75,-0.98,-0.63
0.887,0.80,-0.97,-0.64
0.888,0.85,-0.98,-0.65
0.889,0.89,-0.98,-0.66
0.891,0.94,-0.98,-0.66
0.894,0.99,-0.99,-0.66
0.896,1.03,-0.99,-0.65
0.900,1.08,-0.99,-0.64
0.901,1.14,-0.98,-0.63
0.904,1.19,-0.96,-0.62
0.906,1.25,-0.92,-0.61
0.909,1.31,-0.86,-0.61
0.911,1.37,-0.80,-0.60
0.913,1.43,-0.73,-0.59
0.916,1.50,-0.68,-0.59
0.919,1.57,-0.63,-0.59
0.921,1.64,-0.60,-0.60
0.924,1.70,-0.56,-0.61
0.926,1.76,-0.52,-0.63
0.933,1.82,-0.47,-0.65
0.934,1.88,-0.42,-0.68
0.935,1.94,-0.39,-0.71
0.937,1.98,-0.39,-0.71
0.939,2.02,-0.41,-0.72
0.942,2.06,-0.42,-0.72
0.944,2.10,-0.43,-0.73
0.946,2.14,-0.42,-0.74
0.949,2.18,-0.40,-0.76
0.952,2.23,-0.36,-0.78
0.954,2.27,-0.32,-0.81
0.957,2.31,-0.29,-0.83
0.959,2.35,-0.27,-0.85
0.962,2.39,-0.25,-0.86
0.964,2.42,-0.25,-0.87
0.967,2.44,-0.27,-0.86
0.970,2.45,-0.29,-0.84
0.971,2.45,-0.30,-0.80
0.973,2.44,-0.33,-0.74
0.976,2.42,-0.37,-0.67
0.984,2.40,-0.43,-0.59
0.985,2.37,-0.52,-0.51
0.986,2.34,-0.60,-0.43
0.987,2.30,-0.66,-0.35
0.991,2.26,-0.69,-0.27
0.992,2.22,-0.70,-0.20
0.994,2.19,-0.68,-0.14
0.997,2.15,-0.66,-0.09
0.999,2.12,-0.64,-0.05
1.001,2.09,-0.62,-0.03
1.003,2.07,-0.61,-0.01
1.006,2.04,-0.60,0.01
1.009,2.01,-0.60,0.02
1.011,1.97,-0.59,0.04
1.014,1.93,-0.58,0.05
1.016,1.89,-0.57,0.07
1.019,1.83,-0.56,0.09
1.022,1.77,-0.57,0.11
1.023,1.71,-0.58,0.15
1.026,1.63,-0.59,0.18
1.029,1.54,-0.59,0.21
1.031,1.45,-0.59,0.25
1.033,1.36,-0.57,0.27
1.039,1.27,-0.55,0.30
1.039,1.17,-0.51,0.32
1.041,1.08,-0.46,0.34
1.044,0.98,-0.42,0.35
1.046,0.88,-0.39,0.36
1.048,0.79,-0.35,0.37
1.051,0.69,-0.33,0.39
1.054,0.60,-0.31,0.40
1.056,0.50,-0.30,0.42
1.059,0.41,-0.30,0.44
1.062,0.32,-0.31,0.45
1.066,0.23,-0.33,0.46
1.067,0.13,-0.34,0.48
1.069,0.04,-0.36,0.48
1.071,-0.06,-0.39,0.49
1.074,-0.16,-0.42,0.50
1.076,-0.26,-0.46,0.51
1.079,-0.36,-0.50,0.53
1.085,-0.46,-0.54,0.54
1.086,-0.56,-0.59,0.56
1.086,-0.66,-0.64,0.59
1.089,-0.76,-0.71,0.61
1.092,-0.84,-0.81,0.64
1.094,-0.91,-0.93,0.67
1.096,-0.96,-1.07,0.69
1.098,-1.01,-1.20,0.71
1.101,-1.06,-1.33,0.72
1.103,-1.10,-1.47,0.73
1.106,-1.13,-1.61,0.71
1.110,-1.15,-1.74,0.69
1.111,-1.17,-1.88,0.67
1.114,-1.19,-2.02,0.66
1.117,-1.20,-2.15,0.65
1.118,-1.21,-2.28,0.64
1.122,-1.21,-2.40,0.64
1.124,-1.21,-2.52,0.64
1.126,-1.19,-2.64,0.64
1.129,-1.17,-2.76,0.63
1.132,-1.13,-2.89,0.62
1.135,-1.09,-3.03,0.60
1.136,-1.05,-3.21,0.53
1.138,-1.04,-3.46,0.39
1.142,-1.09,-3.80,0.11
1.143,-1.17,-4.10,-0.23
1.146,-1.23,-4.32,-0.54
1.148,-1.26,-4.42,-0.81
1.151,-1.26,-4.46,-1.02
1.153,-1.24,-4.44,-1.19
1.156,-1.22,-4.42,-1.31
1.158,-1.18,-4.40,-1.38
1.162,-1.15,-4.39,-1.42
1.169,-1.11,-4.39,-1.44
1.170,-1.07,-4.40,-1.44
1.171,-1.03,-4.42,-1.43
1.172,-1.00,-4.44,-1.43
1.175,-0.97,-4.45,-1.43
1.176,-0.92,-4.41,-1.44
1.182,-0.87,-4.37,-1.45
1.183,-0.82,-4.34,-1.45
1.184,-0.78,-4.29,-1.44
1.186,-0.73,-4.22,-1.44
1.191,-0.68,-4.12,-1.42
1.191,-0.63,-4.02,-1.42
1.193,-0.58,-3.91,-1.43
1.197,-0.54,-3.81,-1.45
1.199,-0.52,-3.71,-1.48
1.201,-0.50,-3.61,-1.51
1.203,-0.49,-3.50,-1.56
1.206,-0.48,-3.39,-1.61
1.211,-0.49,-3.28,-1.66
1.212,-0.49,-3.16,-1.72
1.215,-0.51,-3.06,-1.77
1.216,-0.54,-2.96,-1.83
1.219,-0.57,-2.87,-1.87
1.221,-0.61,-2.79,-1.92
1.224,-0.66,-2.70,-1.96
1.226,-0.73,-2.63,-1.98
1.229,-0.80,-2.59,-2.00
1.231,-0.90,-2.57,-2.02
1.234,-1.00,-2.53,-2.03
1.236,-1.11,-2.48,-2.05
1.239,-1.22,-2.43,-2.07
1.241,-1.34,-2.40,-2.09
1.243,-1.48,-2.38,-2.10
1.248,-1.63,-2.38,-2.10
1.249,-1.79,-2.40,-2.10
1.251,-1.96,-2.43,-2.10
1.254,-2.13,-2.48,-2.09
1.256,-2.30,-2.53,-2.07
1.258,-2.48,-2.59,-2.05
1.261,-2.65,-2.65,-2.03
1.264,-2.81,-2.72,-2.00
1.266,-2.97,-2.78,-1.98
1.269,-3.13,-2.84,-1.96
1.271,-3.29,-2.91,-1.94
1.274,-3.46,-3.01,-1.91
1.276,-3.61,-3.01,-1.90
1.280,-3.73,-2.94,-1.89
1.284,-3.83,-2.88,-1.87
1.285,-3.94,-2.87,-1.84
1.286,-4.03,-2.85,-1.81
1.291,-4.12,-2.82,-1.78
1.295,-4.18,-2.76,-1.75
1.296,-4.22,-2.69,-1.73
1.297,-4.25,-2.61,-1.73
1.299,-4.28,-2.55,-1.73
1.302,-4.30,-2.48,-1.74
1.303,-4.31,-2.43,-1.76
1.307,-4.32,-2.38,-1.78
1.309,-4.32,-2.32,-1.79
1.311,-4.32,-2.27,-1.80
1.314,-4.30,-2.22,-1.81
1.316,-4.28,-2.17,-1.82
1.319,-4.25,-2.13,-1.82
1.321,-4.22,-2.10,-1.84
1.323,-4.19,-2.08,-1.84
1.326,-4.16,-2.07,-1.84
1.331,-4.13,-2.08,-1.84
1.333,-4.12,-2.12,-1.82
1.333,-4.11,-2.16,-1.80
1.336,-4.10,-2.21,-1.77
1.339,-4.10,-2.27,-1.75
1.343,-4.10,-2.33,-1.71
1.344,-4.11,-2.39,-1.67
1.347,-4.13,-2.45,-1.63
1.350,-4.16,-2.53,-1.59
1.351,-4.20,-2.61,-1.54
