time,ax,ay,az,aT
1.8390,4.7480,7.7940,13.4440,16.249
1.8500,4.3580,8.4430,13.0640,16.154
1.8620,3.9320,9.5500,12.0420,15.864
1.8710,3.4370,11.3340,9.9150,15.446
1.8830,2.6430,13.4510,7.1050,15.440
1.8880,1.1800,15.6890,4.1650,16.275
1.9010,-0.6070,17.8280,1.9060,17.940
1.9240,-2.1070,19.4910,1.3700,19.652
1.9250,-2.3460,19.9530,3.1710,20.339
1.9360,-1.0250,19.0320,5.8530,19.938
1.9420,1.2510,17.5050,8.1640,19.356
1.9550,3.4080,15.7850,8.9220,18.449
1.9660,4.8770,12.9250,6.8480,15.419
1.9700,5.1460,9.2250,3.2120,11.041
1.9820,4.3580,5.4470,0.6450,7.006
1.9880,3.8210,1.8850,0.1680,4.264
1.9980,5.3250,-1.7280,1.5030,5.797
2.0140,8.6330,-5.4100,4.0830,10.976
2.0190,13.2760,-9.6460,7.0420,17.857
2.0280,16.8990,-13.6480,9.2810,23.622
2.0380,17.8900,-15.9080,10.3580,26.085
2.0480,15.9480,-16.2540,10.2150,24.958
2.0580,12.0930,-15.8870,8.9590,21.884
2.0680,5.7550,-15.9190,7.0540,18.338
2.0770,-0.7410,-13.3940,5.5860,14.531
2.0890,-0.7220,-8.3960,2.9940,8.943
2.0980,8.7970,-10.5260,-0.4380,13.725
2.1080,16.7620,-12.4100,-1.6270,20.919
2.1180,20.2990,-13.5750,-1.6340,24.474
2.1280,19.1510,-16.5410,-4.3410,25.675
2.1380,11.3180,-18.6660,-6.7860,22.860
2.1480,3.2590,-19.5420,-8.2490,21.461
2.1580,-5.0900,-20.2990,-7.8560,22.353
2.1700,-9.0260,-20.3340,-5.2230,22.852
2.1780,-7.9960,-21.7840,-0.6360,23.214
2.1880,-3.7540,-22.8000,-0.0190,23.107
2.1980,-0.3610,-21.9530,0.0670,21.956
2.2080,1.5470,-21.3440,-1.8790,21.482
2.2180,2.8810,-20.6640,-4.8420,21.418
2.2280,2.8660,-19.4910,-7.6990,21.152
2.2380,1.3600,-18.3720,-10.5290,21.219
